@relation 'flopRank Instances list'

@attribute playersLeft numeric
@attribute position numeric
@attribute flopRank numeric
@attribute id numeric

@data
4,3,395409,1638464
4,2,386653,1638467
4,3,-1,1638472
7,2,375557,1638780
7,6,372742,1638791
6,4,390991,1638796
5,1,-1,1638799
3,1,363951,1638804
3,2,-1,1638808
3,3,-1,1638812
3,3,744569,1638815
3,3,-1,1638818
3,2,-1,1638820
3,3,380049,1638824
4,3,1115666,1638827
3,3,386271,1638831
4,1,392822,1638832
4,4,-1,1638839
4,2,336844,1638841
4,1,-1,1638844
4,4,743312,1638851
4,1,395382,1638852
4,2,386256,1638857
4,3,377822,1638862
3,3,388670,1638866
4,1,-1,1638867
4,4,363884,1638874
4,1,368150,1638875
4,3,-1,1638881
3,3,394881,1638923
3,2,321113,1638925
2,1,388064,1638927
2,2,391031,1638930
2,2,385894,1638932
2,2,335351,1638934
2,2,337756,1638936
2,2,361361,1638938
2,2,386638,1638940
2,1,379795,1638941
3,3,375470,1638945
4,4,744160,1638949
3,2,1114538,1638951
3,2,-1,1638954
4,3,395213,1638958
4,3,-1,1638962
4,1,-1,1638964
4,3,-1,1640176
4,3,-1,1640180
4,4,-1,1640185
4,1,305916,1640186
4,4,-1,1640193
4,2,213995,1640195
4,3,392106,1640200
4,2,-1,1640203
4,4,388654,1640209
5,2,-1,1640211
5,1,-1,1640215
6,2,1116015,1640221
7,7,-1,1640232
6,5,-1,1640237
4,1,-1,1640248
4,3,-1,1640254
5,5,-1,1640260
4,1,273481,1640261
4,3,394693,1640267
4,2,-1,1640270
4,3,-1,1640275
4,4,-1,1640280
4,1,1114283,1640281
3,3,304255,1640287
3,1,384274,1640288
3,1,368630,1640291
2,1,332816,1640294
2,1,301874,1640296
2,2,306633,1640299
2,1,244934,1640300
2,1,266371,1640302
2,2,306818,1640305
2,1,387753,1640306
2,2,383854,1640309
2,2,399571,1640311
4,4,-1,1640485
4,3,385922,1640488
3,2,-1,1640491
3,2,-1,1640494
3,2,361573,1640497
3,2,744164,1640500
3,1,275862,1640502
3,3,377682,1640507
3,3,359011,1640510
3,1,384075,1640511
3,1,-1,1640514
3,2,377863,1640518
3,3,388821,1640522
3,2,-1,1640524
3,1,-1,1640526
3,2,372883,1640530
3,1,386542,1640532
3,2,368485,1640536
3,1,386269,1640538
3,3,-1,1640543
3,2,363222,1640545
3,3,-1,1640549
3,1,337758,1640550
3,2,379847,1640554
5,5,-1,1641853
5,3,-1,1641856
5,2,379821,1641860
5,1,-1,1641864
6,5,-1,1641873
7,3,-1,1641877
7,2,-1,1641883
6,6,-1,1641894
6,4,-1,1641898
5,5,-1,1641905
4,3,-1,1641908
4,1,-1,1641910
4,3,743106,1641916
4,1,380029,1641918
4,4,-1,1641925
4,4,-1,1641929
6,3,399441,1641936
6,5,-1,1641944
5,2,367419,1641947
5,5,399556,1641955
5,5,275875,1641960
5,3,-1,1641963
5,2,384438,1641967
5,5,-1,1641975
5,4,-1,1641979
5,3,384244,1641983
5,2,2222768,1641987
5,5,-1,1641995
5,2,1115790,1641997
3,2,358969,1642039
3,3,368501,1642043
3,2,-1,1642045
3,1,388609,1642047
3,1,387753,1642050
3,3,386103,1642055
3,2,-1,1642057
3,1,-1,1642059
3,3,-1,1642064
3,1,337181,1642065
3,2,394852,1642069
3,1,398712,1642071
4,4,379938,1642077
4,2,-1,1642079
5,5,-1,1642086
5,4,360842,1642090
5,3,393021,1642094
5,2,368122,1642098
6,1,390104,1642102
4,4,-1,1642111
4,3,330266,1642114
5,4,368680,1642119
4,3,-1,1642123
8,8,-1,1642846
8,7,-1,1642853
8,6,744697,1642860
7,3,-1,1642865
8,7,-1,1642876
7,4,-1,1642881
7,1,363896,1642885
7,7,397556,1642898
7,6,-1,1642904
7,5,-1,1642910
7,1,-1,1642913
7,7,-1,1642926
7,6,-1,1642932
6,4,-1,1642937
5,2,332605,1642941
7,5,-1,1642949
7,2,-1,1642953
7,1,1115902,1642959
8,5,-1,1642970
7,4,-1,1642977
7,2,386622,1642982
8,8,-1,1642995
8,6,385918,1643001
5,3,-1,1643006
5,5,-1,1643013
5,4,-1,1643017
5,3,-1,1643021
4,3,-1,1643026
4,1,-1,1643028
4,4,-1,1643035
2,2,743603,1644536
2,2,361389,1644538
2,2,330266,1644540
2,1,368642,1644541
2,2,385923,1644544
2,2,304436,1644546
2,1,337769,1644547
2,1,368121,1644549
2,1,382036,1644551
2,2,395216,1644554
2,2,363194,1644556
2,2,366119,1644558
2,2,275861,1644560
2,1,361532,1644561
2,2,332449,1644564
4,3,365769,1644833
4,4,-1,1644838
5,5,394513,1644843
5,4,-1,1644847
6,4,-1,1644852
7,3,-1,1644857
7,1,-1,1644862
7,6,-1,1644874
6,2,397273,1644877
6,6,-1,1644887
5,1,-1,1644888
4,3,393243,1644895
3,3,396864,1644899
3,3,392867,1644902
3,2,744500,1644904
2,1,183067,1644906
2,1,744277,1644908
2,2,381529,1644911
