@relation 'riverRank Instances list'

@attribute playersLeft numeric
@attribute position numeric
@attribute riverRank numeric
@attribute id numeric

@data
4,3,1115680,1638827
3,3,386273,1638831
4,1,392865,1638832
4,4,-1,1638839
4,2,337224,1638841
4,1,-1,1638844
4,4,2227813,1638851
4,1,744751,1638852
4,2,386471,1638857
4,3,743976,1638862
3,3,1485183,1638866
4,1,-1,1638867
4,4,368527,1638874
4,1,2224810,1638875
4,3,-1,1638881
3,3,1485182,1638923
3,2,379849,1638925
2,1,388107,1638927
2,2,744728,1638930
2,2,386276,1638932
2,2,382065,1638934
2,2,744326,1638936
2,2,373431,1638938
2,2,386638,1638940
2,1,1114535,1638941
3,3,2191476,1638945
4,4,2227819,1638949
3,2,1114538,1638951
3,2,-1,1638954
4,3,395218,1638958
4,3,-1,1638962
4,1,-1,1638964
4,3,-1,1640176
4,3,-1,1640180
4,4,-1,1640185
4,1,2163072,1640186
4,4,-1,1640193
4,2,379333,1640195
4,3,393022,1640200
4,2,-1,1640203
4,4,1485181,1640209
5,2,-1,1640211
5,1,-1,1640215
6,2,1116060,1640221
7,7,-1,1640232
6,5,-1,1640237
4,1,-1,1640248
4,3,-1,1640254
5,5,-1,1640260
4,1,275889,1640261
4,3,395401,1640267
4,2,-1,1640270
4,3,-1,1640275
4,4,-1,1640280
4,1,1114355,1640281
3,3,381882,1640287
3,1,384274,1640288
3,1,377868,1640291
2,1,332830,1640294
2,1,304437,1640296
2,2,744400,1640299
2,1,388641,1640300
2,1,1485176,1640302
2,2,1115538,1640305
2,1,1115198,1640306
2,2,744178,1640309
2,2,399598,1640311
4,4,-1,1640485
4,3,744023,1640488
3,2,-1,1640491
3,2,-1,1640494
3,2,399106,1640497
3,2,744170,1640500
3,1,390683,1640502
3,3,744481,1640507
3,3,361560,1640510
3,1,743480,1640511
3,1,-1,1640514
3,2,377867,1640518
3,3,2220235,1640522
3,2,-1,1640524
3,1,-1,1640526
3,2,372910,1640530
3,1,744695,1640532
3,2,373474,1640536
3,1,386641,1640538
3,3,-1,1640543
3,2,382248,1640545
3,3,-1,1640549
3,1,337758,1640550
3,2,744492,1640554
5,5,-1,1641853
5,3,-1,1641856
5,2,379853,1641860
5,1,-1,1641864
6,5,-1,1641873
7,3,-1,1641877
7,2,-1,1641883
6,6,-1,1641894
6,4,-1,1641898
5,5,-1,1641905
4,3,-1,1641908
4,1,-1,1641910
4,3,743112,1641916
4,1,380035,1641918
4,4,-1,1641925
4,4,-1,1641929
6,3,744751,1641936
6,5,-1,1641944
5,2,368488,1641947
5,5,744664,1641955
5,5,1485181,1641960
5,3,-1,1641963
5,2,743469,1641967
5,5,-1,1641975
5,4,-1,1641979
5,3,2227826,1641983
5,2,2222768,1641987
5,5,-1,1641995
5,2,1115872,1641997
3,2,399274,1642039
3,3,399655,1642043
3,2,-1,1642045
3,1,388851,1642047
3,1,743801,1642050
3,3,386104,1642055
3,2,-1,1642057
3,1,-1,1642059
3,3,-1,1642064
3,1,373288,1642065
3,2,394867,1642069
3,1,398922,1642071
4,4,744659,1642077
4,2,-1,1642079
5,5,-1,1642086
5,4,399454,1642090
5,3,393036,1642094
5,2,744664,1642098
6,1,390485,1642102
4,4,-1,1642111
4,3,333012,1642114
5,4,368700,1642119
4,3,-1,1642123
8,8,-1,1642846
8,7,-1,1642853
8,6,744763,1642860
7,3,-1,1642865
8,7,-1,1642876
7,4,-1,1642881
7,1,368530,1642885
7,7,397611,1642898
7,6,-1,1642904
7,5,-1,1642910
7,1,-1,1642913
7,7,-1,1642926
7,6,-1,1642932
6,4,-1,1642937
5,2,384262,1642941
7,5,-1,1642949
7,2,-1,1642953
7,1,1115903,1642959
8,5,-1,1642970
7,4,-1,1642977
7,2,743638,1642982
8,8,-1,1642995
8,6,1485180,1643001
5,3,-1,1643006
5,5,-1,1643013
5,4,-1,1643017
5,3,-1,1643021
4,3,-1,1643026
4,1,-1,1643028
4,4,-1,1643035
2,2,743604,1644536
2,2,363940,1644538
2,2,388639,1644540
2,1,382262,1644541
2,2,385923,1644544
2,2,304436,1644546
2,1,1485184,1644547
2,1,373471,1644549
2,1,382262,1644551
2,2,1115719,1644554
2,2,373442,1644556
2,2,744015,1644558
2,2,381713,1644560
2,1,380050,1644561
2,2,744453,1644564
4,3,386637,1644833
4,4,-1,1644838
5,5,744348,1644843
5,4,-1,1644847
6,4,-1,1644852
7,3,-1,1644857
7,1,-1,1644862
7,6,-1,1644874
6,2,1115877,1644877
6,6,-1,1644887
5,1,-1,1644888
4,3,393243,1644895
3,3,744453,1644899
3,3,744130,1644902
3,2,744502,1644904
2,1,1485179,1644906
2,1,2227888,1644908
2,2,1485180,1644911
2,2,744326,1644913
2,1,390487,1644914
2,2,399104,1644917
2,1,744336,1644918
2,1,380021,1644920
2,1,2215293,1644922
2,2,384459,1644925
3,1,744545,1644926
3,3,-1,1644931
3,1,2970354,1644932
4,2,1116059,1644936
4,1,-1,1644939
4,1,-1,1644943
4,2,744301,1644948
4,3,1115398,1644953
4,2,744554,1644956
4,3,-1,1644961
4,4,-1,1644981
4,4,-1,1644985
4,2,2191657,1644987
4,4,-1,1644993
4,4,2222404,1644997
3,1,-1,1645008
8,3,-1,1645013
8,3,-1,1645043
8,8,-1,1645056
8,7,-1,1645063
9,6,-1,1645070
9,3,-1,1645076
9,2,1485184,1645084
6,5,1115353,1645140
6,3,-1,1645144
6,1,-1,1645148
6,5,-1,1645158
6,4,2224079,1645163
6,3,-1,1645168
5,1,-1,1645172
5,1,-1,1645177
5,5,744117,1645186
4,3,-1,1645189
4,2,-1,1647697
4,1,-1,1647700
4,3,2227801,1647706
4,3,-1,1647710
4,1,-1,1647712
3,1,-1,1647716
3,3,377865,1647721
3,2,399416,1647723
3,2,743957,1647726
3,2,1115145,1647729
3,1,1116059,1647731
3,2,368348,1647735
3,3,744294,1647739
3,3,-1,1647776
3,3,-1,1647779
3,1,-1,1647780
2,2,392515,1647784
