@relation 'Flop Round 2'

@attribute playersLeft numeric
@attribute position numeric
@attribute rank numeric
@attribute playersStreet numeric
@attribute pot numeric
@attribute chips numeric
@attribute chipsBets numeric
@attribute action string

@data
6,5,390482,2,350,3925,260,c:20
9,2,384072,2,250,105846,180,c:20
9,1,393055,2,220,740001,180,c:20
9,7,1114038,2,320,823661,220,r:40
6,4,397189,2,220,930815,180,c:20
9,1,361362,3,320,913903,220,c:0
4,1,744466,2,220,939848,140,c:20
9,3,394893,2,270,3766,160,c:20
3,2,390807,3,480,15473,360,r:40
9,1,390683,3,500,36325,360,c:0
7,4,378235,3,380,41135,200,c:0
6,4,743605,2,390,41175,240,c:20
6,2,388753,3,300,40022,300,c:0
5,1,393162,2,320,2418,220,r:40
4,1,380018,2,280,10748,300,r:40
4,3,398346,2,430,10788,240,r:40
3,2,302072,2,210,10728,140,c:20
7,1,398191,3,520,34753,180,c:20
7,2,306762,2,250,34963,200,r:40
7,1,1115496,2,1300,34763,880,r:40
6,3,368706,2,550,35603,240,c:20
7,1,387557,4,480,37448,240,c:40
8,5,2101048,2,210,2325,160,c:20
